Front Offset, Back Offset, Side Offset, Top Offset, Ahmed Target Size, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, cd*A [], cl*A [], Drag [N], Lift [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Total Meshing Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, X-momentum, Y-momentum, Z-momentum, Tdr, Tke, Error, Comment
3.5 m, 1.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.30078770887251804, 0.3610458589993649, 16.953420096388523, 20.34977474519053, 16489.5234375, 14.681296445616665, 0.37025, 1122739, 3353166, 1186597, 1000, 5.816896192483041E-4, 1.1290499457204189E-4, 6.810344274272422E-4, 4.409985982573718E-4, 0.0077549595505907445, 0.006244751026774274, N/A , N/A
4.0 m, 1.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2981046352568168, 0.3558927345096951, 16.80219292581355, 20.059327091561883, 16489.5234375, 14.877960653883338, 0.40485, 1142209, 3410931, 1207828, 1000, 6.670868776804365E-4, 1.2264657407734118E-4, 8.120791992217908E-4, 4.2568702313902293E-4, 0.00550068802398987, 0.0029364799450958667, N/A , N/A
4.5 m, 2.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2961642008594305, 0.3666348582008433, 16.69282343185489, 20.664789782660705, 16489.5234375, 15.427535995433324, 0.4328166666666667, 1172592, 3501681, 1240936, 1000, 6.537087044568172E-4, 1.129485917753854E-4, 7.464065558377072E-4, 4.521075178075736E-4, 0.008016655165252599, 0.010057109461665513, N/A , N/A
5.0 m, 2.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2960093363020044, 0.38862823521630036, 16.6840947377539, 21.904411445656674, 16489.5234375, 15.48647819248334, 0.47195, 1184480, 3536618, 1253701, 1000, 6.278220503773003E-4, 1.090596176667697E-4, 7.484805469927208E-4, 4.559482580265674E-4, 0.0037329022767791874, 0.0056091102771670814, N/A , N/A
5.5 m, 3.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2948093390035728, 0.40916524453844705, 16.616458801461487, 23.061947263416318, 16489.5234375, 15.713933133166657, 0.50215, 1199760, 3582436, 1270828, 1000, 7.353877403809768E-4, 1.183487762507558E-4, 8.620871396184397E-4, 4.878054185274844E-4, 0.006296836214864101, 0.0074855299707658265, N/A , N/A
6.0 m, 3.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29887093951023247, 0.38397709348410825, 16.845384444438107, 21.642257250562498, 16489.5234375, 15.809405919916697, 0.53425, 1209287, 3610208, 1280981, 1000, 6.819879398622164E-4, 1.0659738596264189E-4, 7.792842922127928E-4, 4.842278791197178E-4, 0.009229677444206339, 0.010306512655428854, N/A , N/A
6.5 m, 4.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.298070653672427, 0.3842017721038726, 16.800277607937495, 21.654920903082807, 16489.5234375, 16.018085144500017, 0.5907666666666667, 1226361, 3660976, 1299131, 1000, 6.320610620429265E-4, 1.0469412470191435E-4, 7.50600996356682E-4, 4.522693438651358E-4, 0.01722124644973506, 0.0028287848204063075, N/A , N/A
7.0 m, 4.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29597228001374976, 0.3925903503492197, 16.68200611909209, 22.12772975400919, 16489.5234375, 16.198445625283334, 0.6279333333333333, 1237918, 3695054, 1311706, 1000, 6.376214520445391E-4, 9.429163487226401E-5, 7.171148082249461E-4, 4.29542458849298E-4, 0.0032837561711028256, 0.0024021648190519235, N/A , N/A
7.5 m, 5.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2973512684902228, 0.3723885756375188, 16.75973060802603, 20.98908890108385, 16489.5234375, 16.521517126133357, 0.6669666666666667, 1258269, 3755248, 1333943, 1000, 6.892943091116885E-4, 1.0825577467044837E-4, 8.17342042831534E-4, 4.754876564558936E-4, 0.005799908596591706, 0.0033279932188386018, N/A , N/A
4.0 m, 1.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29880918754620334, 0.35912944408871583, 16.841903893348146, 20.241759071342017, 16489.5234375, 14.86963649316663, 0.37561666666666665, 1131060, 3377873, 1195653, 1000, 6.529590917049592E-4, 1.1790391703921153E-4, 7.440218238315071E-4, 4.468679951536877E-4, 0.005739922660738551, 0.0012085472502380208, N/A , N/A
4.5 m, 1.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2979533502881756, 0.36724208321015656, 16.79366598953262, 20.69901505308319, 16489.5234375, 14.853218342049981, 0.4065, 1143045, 3413355, 1209055, 1000, 7.283149723397046E-4, 1.0354903583108473E-4, 7.331262659889824E-4, 4.3871358398358715E-4, 0.018994690405372498, 0.002152481054861633, N/A , N/A
5.0 m, 2.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2946110816802916, 0.40585216500375215, 16.60528434323189, 22.875210812731645, 16489.5234375, 15.367110913683344, 0.44206666666666666, 1177987, 3517643, 1246605, 1000, 7.937481347439155E-4, 1.1653436909995436E-4, 8.48885839871999E-4, 4.828910587897627E-4, 0.0033350204948122226, 0.001337774673815979, N/A , N/A
5.5 m, 2.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2953441771565048, 0.3950232217745912, 16.64660410202653, 22.264854676664537, 16489.5234375, 15.738190532666682, 0.47263333333333335, 1193747, 3564899, 1264536, 1000, 7.684663053925335E-4, 1.0677106116441889E-4, 7.767013138648612E-4, 4.6675676147361244E-4, 0.02504578960435565, 0.014585823888760447, N/A , N/A
6.0 m, 3.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2974252999284003, 0.3658328423516621, 16.763903272116814, 20.619585436824572, 16489.5234375, 15.815496720133323, 0.5038166666666667, 1205356, 3598402, 1276174, 1000, 7.189048091116693E-4, 1.0181287740663696E-4, 7.365623360283637E-4, 4.1723632868482743E-4, 0.007110390902646616, 6.464857487501704E-4, N/A , N/A
6.5 m, 3.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2987403529809708, 0.3795727239685827, 16.838024142722986, 21.394011978385905, 16489.5234375, 16.067633637233325, 0.54775, 1219733, 3640734, 1291734, 1000, 7.868388266719472E-4, 1.1231147224979274E-4, 8.427266745229588E-4, 4.914621682778846E-4, 0.0058159367894778016, 8.871009263801073E-4, N/A , N/A
