Back Offset, Front Offset, Side Offset, Top Offset, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, DF CIA [], DF [N], Drag [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, Energy, Tdr, Tke, X-momentum, Y-momentum, Z-momentum, Error, Comment
3.5 m, 2.5 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.134580829316704,2.63091495632635,5.088046224167,4056.890625,18.5104924158333,561097,1670505,642119,1000,1.04239351708522E-05,8.18811439872378E-06,2.95250004458214E-07,1.28910535987897E-06,1.68200617206626E-07,0.00106625787324267,3.58534640204267E-05, N/A , N/A
3.5 m, 2.5 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.138139946245235,2.7004919830554,5.03870386836026,4323.80859375,23.3289413059667,693700,2065700,791402,1000,2.9303644857887E-06,2.30843045113123E-06,5.0334049969554E-07,4.02275404364618E-07,4.91414899872194E-08,0.000408299178175559,1.10214514785117E-05, N/A , N/A
4.0 m, 3.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.134037835734675,2.62029999769217,5.34347505458043,3805.48046875,9.04788564205001,280090,834571,321697,1000,1.11988609452008E-06,9.02418735318549E-07,3.93305947576176E-08,5.67714521570618E-08,1.8057549886861E-08,3.70845532133795E-05,2.20093959795563E-06, N/A , N/A
4.0 m, 3.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.139233870047353,2.72187705332645,5.0762030687665,3906.27734375,12.2301979626333,367487,1094381,422936,1000,3.41985501238299E-06,2.6940819360703E-06,7.53000671842885E-07,5.70653437619957E-07,1.24944522347586E-07,0.000200934723660793,9.32216546303329E-06, N/A , N/A
4.0 m, 3.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.136008008326755,2.65881481860213,5.10129232090921,4031.55078125,15.6246054591,476832,1420010,547758,1000,2.00320455664498E-06,1.60745248639087E-06,7.99573578183879E-07,5.38656754155139E-07,9.76681801682177E-08,0.000151971531627198,7.49062098370214E-06, N/A , N/A
4.0 m, 3.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.139499682665239,2.72707341298277,5.04310557242054,4190.38671875,20.4386086065834,605078,1801893,692634,1000,4.12874497054078E-06,3.24746058377404E-06,9.8460455285824E-07,6.61761436290637E-07,9.1952786218007E-08,0.000583404627605844,1.67380266811037E-05, N/A , N/A
4.0 m, 3.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,3.24663081617042,63.4682488977097,-29.5328575720827,4455.70703125,8.02148918436667,753804,2244576,858726,341,0.243959573530197,0.198580077901058,0.025836309036064,0.132791873193854,0.01208039279268,50.832975047258,4.33805731954337, A floating point error has occurred. The following error has been logged:  Detected a non-finite value in AMG Resiudal.Please check your usage and inputs.Command: RunSimulation   command: CommandComplete   error: Server Error , N/A
4.5 m, 3.5 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.134684324864523,2.63293818642571,5.31824854091152,3766.5625,9.64012038621666,289790,863200,333286,1000,1.31082675241548E-05,1.02916154871722E-05,7.18534672602722E-07,1.10432690900901E-06,2.95674002536025E-07,0.000598440472905581,2.74761431678702E-05, N/A , N/A
4.5 m, 3.5 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.135988871103163,2.65844070582525,5.10694939233657,3883.01953125,12.7852680058667,387330,1152912,445883,1000,5.8012913922185E-06,4.61979397786867E-06,1.03189404111265E-06,7.43512434201306E-07,1.63794285803467E-07,0.000343543986267058,1.70218516229228E-05, N/A , N/A
4.5 m, 3.5 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.137720944022373,2.69230092627221,5.07912267754459,3960.6953125,16.4658958350334,507025,1509411,582355,1000,2.61421142375636E-06,2.07039663290094E-06,9.13502339438312E-07,5.80593195306846E-07,1.11603606697961E-07,0.000148240260572112,9.22439806274224E-06, N/A , N/A
4.5 m, 3.5 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.126451700626797,2.47199896241573,5.07761423798406,4249.3125,21.7480618821833,650544,1936818,743754,1000,2.60174424523247E-06,2.0639374159105E-06,3.39163127875486E-07,1.95870469866933E-07,4.97934692198068E-08,0.000148719429777449,7.55614321307377E-06, N/A , N/A
4.5 m, 3.5 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.128100688789172,2.50423496245544,5.04998344315231,4604.6015625,27.7223058540167,815096,2427139,927606,1000,3.09001155582601E-06,2.4360985577852E-06,3.98240975526687E-07,3.08217850631408E-07,4.55091667896786E-08,0.000351582983869107,1.23500703849964E-05, N/A , N/A
5.0 m, 4.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.139951719955209,2.73591027089959,5.28239233347838,3823.35546875,10.2468023866667,298637,889043,343884,1000,3.03131082213131E-05,2.37943640382289E-05,1.63565534425358E-06,2.33251780743978E-06,5.94777440909785E-07,0.00101262679120364,6.38711147252634E-05, N/A , N/A
5.0 m, 4.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.136040022436238,2.65944066107821,5.08597356950551,3914.109375,13.28881909595,406750,1210330,468405,1000,3.85961368059874E-06,3.26057359896935E-06,6.45567368602694E-07,4.67118769494244E-07,1.19486020118625E-07,0.000210724338079044,9.73673462384591E-06, N/A , N/A
5.0 m, 4.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.126293349640866,2.46890336567026,5.07200750060177,4066.96484375,17.8913045031667,538597,1603213,618566,1000,2.34445369788232E-06,1.89780113695754E-06,4.27440043711761E-07,2.61390794800874E-07,6.20404520113538E-08,0.000178552343821701,7.11586005577049E-06, N/A , N/A
